id,partenza,arrivo,tappa1,distanza1,tappa2,distanza2,tappa3,distanza3,tappa4,distanza4,tappa5,distanza5,distanza_a_destinazione
178,Stazione Pisa Centrale,Ristorante Il Mio Capriccio,McDonald's Pisa Aurelia,1.5,Hotel Galilei Pisa,1.66,Conad Pian di Marco,1.81,Via Cisanello 170,4.6,,,1.92
179,Ristorante Tuscany 2,Hotel Continental Tirrenia,,,,,,,,,,,20.42
180,Ristorante Tuscany 2,Hotel Galilei Pisa,Universita di Pisa,2.08,Hotel San Ranieri,1.86,Pizzeria Colignola,1.39,Ristorante Pizzeria Il Pellicano,3.65,Parco San Rossore,2.19,3.19
181,Centro Commerciale Darsena (Tirrenia),Pizzeria Pisanova,Hotel Galilei Pisa,17.56,MediaWorld Pisa,4.3,Carrefour Express Pisanova,0.48,Via del Borghetto 102,1.81,Via Aretino Spinello 11,1.15,2.05
182,OBI Pisa,Via Aretino Spinello 11,Farmacia Cisanello,5.9,Polo Fibonacci,1.91,Ristorante Tuscany 2,2.38,Via Cisanello 170,0.67,McDonald's Barbaricina,6.9,4.97
183,Parcheggio Via Paparelli,Euronics Pisa Cisanello,Lidl Pisa,4.29,Pizzeria Colignola,5.25,Ipercoop Pisa,2,Conad Pian di Marco,3.71,Universita di Pisa,4.37,2.35
184,Carrefour Express Pisanova,Parcheggio Migliarino,Decathlon Pisa,0.77,MD Discount Riglione,3.56,Stazione Pisa Centrale,5.7,,,,,14.29
185,Facolta di Ingegneria Polo A,McDonald's Pisa Aurelia,Ristorante La Greppia,2.49,Supermercato Coop San Giusto,0.97,,,,,,,0.77
186,Ristorante Il Mio Capriccio,Stazione Pisa Centrale,Piscina Comunale Camalich,4.36,Via Montanelli 66,5.68,Decathlon Pisa,1.24,OBI Pisa,3.71,,,2.16
187,Parcheggio San Giuliano Terme,Supermercato Coop San Giusto,Via Angelo Battelli 5,7.91,Facolta di Ingegneria Polo A,0.61,Via Cisanello 170,1.87,,,,,3.76
188,Carrefour Express Pisanova,Hotel Continental Tirrenia,,,,,,,,,,,17.8
189,Hotel Galilei Pisa,Stazione San Rossore,Supermercato Coop San Giusto,2.58,McDonald's Pisa Aurelia,0.89,Parcheggio Migliarino,14.45,,,,,12.42
190,Via Angelo Battelli 5,Piscina Comunale Camalich,Via Aretino Spinello 11,0.36,Supermercato Coop San Giusto,2.12,,,,,,,3.36
191,Ristorante Pizzeria Il Pellicano,Ristorante Tuscany 2,Centro Commerciale Darsena (Tirrenia),20.9,OBI Pisa,18.27,Ristorante Il Lago (Nodica),10.41,Supermercato Coop Ghezzano,2.32,Pizzeria Colignola,5.72,1.25
192,Hotel San Ranieri,Decathlon Pisa,Ristorante La Greppia,3.51,Conad Metato,10.4,Centro Commerciale Pisanova,9.44,Parco San Rossore,3.51,Ristorante Pizzeria Il Pellicano,2.2,1
193,Pizzeria Pisanova,Ristorante Il Rustichello - San Piero,Parcheggio San Giuliano Terme,9.72,Parcheggio Via Paparelli,5.51,Ristorante La Greppia,5.12,,,,,5.02
194,Carrefour Express Pisanova,Parcheggio San Giuliano Terme,Via Angelo Battelli 5,1.61,,,,,,,,,7.92
195,McDonald's Pisa Aurelia,Via Montanelli 66,Carrefour Express Pisanova,3.05,Conad Metato,10.14,,,,,,,9.39
196,Ipercoop Pisa,Stazione Pisa Centrale,Esselunga Cisanello,1.42,Parco San Rossore,4.34,OBI Pisa,1.78,Torre,4.84,Polo Fibonacci,1.5,2.16
197,Ristorante Il Rustichello - San Piero,Via Cisanello 170,Via Aretino Spinello 11,5.87,OBI Pisa,3.7,Hotel San Ranieri,5.82,MediaWorld Pisa,1.84,,,1.27
198,Ristorante Il Lago (Nodica),Ristorante Tuscany 2,Esselunga Cisanello,6.82,,,,,,,,,0.19
199,Parcheggio di Cisanello,McDonald's Barbaricina,Ristorante Il Mio Capriccio,1.78,Euronics Pisa Cisanello,0.79,,,,,,,7.9
200,Via Montanelli 66,McDonald's Pisa Aurelia,,,,,,,,,,,2.81
201,Pizzeria Pisanova,OBI Pisa,Facolta di Ingegneria Polo A,1.82,Ristorante Il Mio Capriccio,2.23,Hotel San Ranieri,2.34,Via Angelo Battelli 5,2.29,Conad La Vettola,6.91,4.97
202,Pizzeria Colignola,Via Angelo Battelli 5,Torre,4.39,Hotel Continental Tirrenia,20.53,Ristorante Pizzeria Il Pellicano,19.02,,,,,1.95
203,Parcheggio Porto di Marina,Esselunga Cisanello,Polo Fibonacci,18.66,,,,,,,,,2.44
204,Ristorante Il Rustichello - San Piero,Esselunga Cisanello,Via Montanelli 66,6.4,,,,,,,,,1.97
205,Via Gabriele Vettori 18,Hotel Continental Tirrenia,Via San Ranieri 9,1.75,,,,,,,,,21.31
206,Supermercato Coop San Giusto,Torre,Centro Commerciale Darsena (Tirrenia),17.9,Supermercato Coop Ghezzano,28.26,,,,,,,4.5
207,Via Cisanello 170,Lidl Pisa,Via del Borghetto 102,1.84,Ristorante La Greppia,2.92,Ristorante Tuscany 2,3.25,Torre,3.8,,,2.06
208,Centro Commerciale Pisanova,Parco San Rossore,Stazione San Rossore,2.96,Ristorante Galileo,3.42,Conad Metato,9.86,,,,,9.91
209,Stazione Pisa Centrale,Carrefour Express Pisanova,McDonald's Barbaricina,5.11,Esselunga Cisanello,7.91,Decathlon Pisa,1.7,,,,,0.69
210,Universita di Pisa,Farmacia Cisanello,,,,,,,,,,,2.06
211,Ristorante Il Rustichello - San Piero,Eurospin Ospedaletto,Universita di Pisa,7.12,Via Gabriele Vettori 18,0.61,,,,,,,6.72
212,Ristorante Galileo,Parcheggio Migliarino,Decathlon Pisa,1.02,Hotel San Ranieri,2.1,,,,,,,13.53
213,Via Cisanello 170,Ristorante Pizzeria Il Pellicano,,,,,,,,,,,2.63
214,Stazione Leopolda,Stazione Pisa Centrale,,,,,,,,,,,0.65
215,Decathlon Pisa,Facolta di Ingegneria Polo A,Via Aretino Spinello 11,2.02,Supermercato Coop Ghezzano,5.54,Carrefour Express Pisanova,6.03,MediaWorld Pisa,0.54,Via Montanelli 66,1.34,0.95
216,MediaWorld Pisa,Via Aretino Spinello 11,Supermercato Coop San Giusto,2.43,Torre,3.09,Ristorante Da Stefano (Tirrenia),18.97,Via Gabriele Vettori 18,20.99,,,0.62
217,Hotel Galilei Pisa,Piscina Comunale Camalich,Euronics Pisa Cisanello,4.14,Via Angelo Battelli 5,2.47,Ipercoop Pisa,2.45,Ristorante Galileo,1.04,,,5.82
218,Via Montanelli 66,Ristorante Tuscany 2,Ristorante Il Lago (Nodica),6.96,,,,,,,,,7.88
219,Euronics Pisa Cisanello,Conad Pian di Marco,Esselunga Cisanello,1.12,,,,,,,,,4.61
220,Parcheggio San Giuliano Terme,Centro Commerciale Pisanova,Ristorante Il Mio Capriccio,10.13,,,,,,,,,0.91
221,Via Cisanello 170,Ristorante Galileo,Parcheggio Porto di Marina,19.39,Eurospin Ospedaletto,9.48,Parcheggio di Cisanello,7.53,Ipercoop Pisa,1.89,,,1.16
222,Stazione San Rossore,OBI Pisa,Parcheggio San Giuliano Terme,10.53,Universita di Pisa,8.04,Euronics Pisa Cisanello,2.12,,,,,4.15
223,Centro Commerciale Pisanova,Ristorante Galileo,,,,,,,,,,,0.35
224,MediaWorld Pisa,McDonald's Pisa Aurelia,Ristorante Da Stefano (Tirrenia),18.54,Hotel Continental Tirrenia,1.22,Conad La Vettola,14.41,,,,,4.94
225,MD Discount Riglione,Decathlon Pisa,Lidl Pisa,6.15,Facolta di Ingegneria Polo A,2.2,Ristorante Da Stefano (Tirrenia),18.15,Farmacia Cisanello,19.36,,,2.14
226,Ristorante Galileo,Hotel Galilei Pisa,Conad Pian di Marco,4.04,,,,,,,,,1.7
227,Pizzeria Colignola,Decathlon Pisa,MediaWorld Pisa,2.56,Ristorante Da Stefano (Tirrenia),21.35,Parcheggio di Cisanello,20.07,Parco San Rossore,3.82,Via San Ranieri 9,4.08,2.01
228,McDonald's Pisa Aurelia,Polo Fibonacci,Hotel Galilei Pisa,1.66,Centro Commerciale Darsena (Tirrenia),15.78,,,,,,,19.66
229,Via Gabriele Vettori 18,Via del Borghetto 102,Pizzeria Pisanova,1.75,Via Montanelli 66,1.16,Ristorante Pizzeria Il Pellicano,1.58,Stazione Pisa Centrale,0.85,Pizzeria Colignola,3.98,4.03
230,Via Montanelli 66,Esselunga Cisanello,Pizzeria Colignola,2.95,Ristorante Pizzeria Il Pellicano,3.88,,,,,,,2.63
231,Facolta di Ingegneria Polo A,OBI Pisa,,,,,,,,,,,4.46
232,Hotel San Ranieri,MediaWorld Pisa,Centro Commerciale Darsena (Tirrenia),23.37,Torre,21.22,Lidl Pisa,2.2,Facolta di Ingegneria Polo A,2.14,Conad La Vettola,7.52,8.36
233,Stazione Pisa Centrale,Ristorante Il Lago (Nodica),Via Cisanello 170,2.77,Centro Commerciale Darsena (Tirrenia),19.93,Stazione San Rossore,18.98,Ipercoop Pisa,3.19,,,7.88
234,Via Aretino Spinello 11,Conad La Vettola,Via del Borghetto 102,1.14,Hotel Galilei Pisa,5.53,,,,,,,5.67
235,Pizzeria Pisanova,McDonald's Barbaricina,,,,,,,,,,,6.99
236,McDonald's Pisa Aurelia,Supermercato Coop San Giusto,,,,,,,,,,,0.89
237,Conad Metato,Ristorante Il Lago (Nodica),Via del Borghetto 102,8.44,Hotel Continental Tirrenia,20.6,OBI Pisa,14.77,,,,,10.49
238,Via Gabriele Vettori 18,Ristorante Da Stefano (Tirrenia),Esselunga Cisanello,2.33,Parcheggio San Giuliano Terme,9.6,,,,,,,26.97
239,Carrefour Express Pisanova,Ristorante Il Lago (Nodica),Lidl Pisa,2.76,Euronics Pisa Cisanello,3.22,Parcheggio Porto di Marina,16.32,Eurospin Ospedaletto,11.43,,,13.27
240,Pizzeria Pisanova,Stazione Pisa Centrale,Via San Ranieri 9,1.19,Centro Commerciale Darsena (Tirrenia),20.36,Stazione Leopolda,18.65,MD Discount Riglione,5.12,Via del Borghetto 102,5.76,2.42
241,Polo Fibonacci,Via Gabriele Vettori 18,Via San Ranieri 9,1.38,Ristorante Il Lago (Nodica),6.74,Esselunga Cisanello,7.46,,,,,2.61
242,Carrefour Express Pisanova,Parcheggio Porto di Marina,Parcheggio San Giuliano Terme,9.11,Pizzeria Colignola,8.65,Ristorante Pizzeria Il Pellicano,3.65,Stazione San Rossore,1.78,Parcheggio di Cisanello,3.8,17.67
243,Decathlon Pisa,Pizzeria Pisanova,Parcheggio Porto di Marina,15.76,Ristorante Il Mio Capriccio,15.09,Stazione San Rossore,2.82,Stazione Leopolda,1.21,,,1.84
244,Ristorante Tuscany 2,Via Cisanello 170,,,,,,,,,,,0.69
245,Stazione San Rossore,MD Discount Riglione,Ristorante Il Rustichello - San Piero,4.34,Supermercato Coop San Giusto,3.82,,,,,,,5.26
246,Hotel Galilei Pisa,Via Gabriele Vettori 18,Centro Commerciale Darsena (Tirrenia),17.55,McDonald's Barbaricina,19.76,Ristorante Tuscany 2,7.77,,,,,2.29
247,MD Discount Riglione,Parcheggio Via Paparelli,Ristorante Pizzeria Il Pellicano,4.81,Parcheggio Migliarino,15.43,,,,,,,11.71
248,Eurospin Ospedaletto,Pizzeria Colignola,Ristorante La Greppia,4.9,Via del Borghetto 102,2.94,Centro Commerciale Pisanova,1.92,Stazione San Rossore,2.87,,,5.25
249,Torre,Universita di Pisa,Ristorante Il Rustichello - San Piero,6.86,Via Gabriele Vettori 18,6.02,Stazione Leopolda,1.05,,,,,1.78
250,Piscina Comunale Camalich,Euronics Pisa Cisanello,Via Angelo Battelli 5,5.48,Pizzeria Pisanova,2.02,McDonald's Barbaricina,6.7,Ristorante Il Rustichello - San Piero,3.67,Conad Pian di Marco,3.35,3.38
251,Parcheggio Via Paparelli,Ristorante Da Stefano (Tirrenia),,,,,,,,,,,21.02
252,Hotel Continental Tirrenia,Conad Pian di Marco,,,,,,,,,,,15.58
253,Stazione Pisa Centrale,Eurospin Ospedaletto,MediaWorld Pisa,1.83,Parco San Rossore,3.5,,,,,,,4.54
254,McDonald's Pisa Aurelia,McDonald's Barbaricina,Polo Fibonacci,4.02,Ristorante Tuscany 2,2.28,Eurospin Ospedaletto,7.63,Ristorante Galileo,7.82,,,6.85
255,Via Aretino Spinello 11,Conad La Vettola,Universita di Pisa,1.13,,,,,,,,,6.89
256,McDonald's Barbaricina,MD Discount Riglione,Ipercoop Pisa,7.37,,,,,,,,,3.1
257,Stazione San Rossore,OBI Pisa,McDonald's Barbaricina,3.82,Parcheggio Porto di Marina,11.65,Parcheggio Via Paparelli,19.77,,,,,5.77
258,Conad La Vettola,Conad Pian di Marco,Conad Metato,13.67,Facolta di Ingegneria Polo A,8.43,MD Discount Riglione,6.07,Parco San Rossore,6.56,Ristorante Il Rustichello - San Piero,3.62,3.21
259,Esselunga Cisanello,Via Angelo Battelli 5,,,,,,,,,,,2.4
260,Via Cisanello 170,Ristorante Tuscany 2,Parcheggio Porto di Marina,19.18,Facolta di Ingegneria Polo A,16.44,,,,,,,2.45
261,Carrefour Express Pisanova,Via Angelo Battelli 5,MediaWorld Pisa,0.55,Lidl Pisa,2.9,,,,,,,1.38
262,Conad Pian di Marco,Conad La Vettola,Polo Fibonacci,3.62,Pizzeria Colignola,3.34,MediaWorld Pisa,2.45,Centro Commerciale Pisanova,0.44,Via del Borghetto 102,2.23,6.86
263,Decathlon Pisa,Via Angelo Battelli 5,Hotel Galilei Pisa,4.29,Conad Pian di Marco,1.81,Stazione Leopolda,2.44,Facolta di Ingegneria Polo A,1.44,Ristorante Il Lago (Nodica),5.62,6.62
264,Supermercato Coop Ghezzano,Eurospin Ospedaletto,Conad La Vettola,11.55,Ristorante Il Rustichello - San Piero,2.54,McDonald's Pisa Aurelia,3.5,Lidl Pisa,2.04,,,5.08
265,Ristorante Da Stefano (Tirrenia),Conad La Vettola,OBI Pisa,16.78,Supermercato Coop San Giusto,1.35,Hotel Continental Tirrenia,15.34,,,,,12.61
266,McDonald's Pisa Aurelia,Parcheggio di Cisanello,Parcheggio San Giuliano Terme,12.1,Polo Fibonacci,7.43,Via San Ranieri 9,1.5,Stazione Leopolda,2.52,Ristorante La Greppia,1.27,3.31
267,Parcheggio San Giuliano Terme,Conad Metato,Torre,6.97,Ristorante Pizzeria Il Pellicano,3.32,Ipercoop Pisa,1.62,Ristorante Il Mio Capriccio,0.72,Hotel Galilei Pisa,3.88,13.02
268,Centro Commerciale Darsena (Tirrenia),Conad La Vettola,Ipercoop Pisa,19.4,Piscina Comunale Camalich,4.82,,,,,,,6.75
269,Piscina Comunale Camalich,Supermercato Coop Ghezzano,Facolta di Ingegneria Polo A,6.96,Polo Fibonacci,0.26,Via Angelo Battelli 5,0.88,,,,,5.37
270,Carrefour Express Pisanova,Ristorante Galileo,Universita di Pisa,1.69,MD Discount Riglione,5.46,Piscina Comunale Camalich,6,,,,,6.14
271,Universita di Pisa,McDonald's Pisa Aurelia,Ristorante Da Stefano (Tirrenia),20.68,,,,,,,,,17.83
272,Conad Metato,Farmacia Cisanello,Hotel Continental Tirrenia,24,Hotel San Ranieri,21.54,Facolta di Ingegneria Polo A,2.04,Pizzeria Colignola,3.22,,,1.41
273,Via Angelo Battelli 5,Ristorante Tuscany 2,Ristorante Il Mio Capriccio,1.89,Facolta di Ingegneria Polo A,2.27,MediaWorld Pisa,2.03,Stazione San Rossore,3.01,Stazione Pisa Centrale,1.15,2.93
274,Hotel San Ranieri,Centro Commerciale Pisanova,MD Discount Riglione,4.37,Eurospin Ospedaletto,7.68,Parcheggio Via Paparelli,8.76,Pizzeria Colignola,4,Ristorante Il Rustichello - San Piero,8.15,7.17
275,Conad Metato,Pizzeria Colignola,Via Aretino Spinello 11,8.82,Carrefour Express Pisanova,1.72,Supermercato Coop Ghezzano,6.31,Stazione Leopolda,6.94,,,4.24
276,OBI Pisa,Parcheggio Porto di Marina,Ipercoop Pisa,4.02,Ristorante Galileo,1.2,Pizzeria Pisanova,0.37,,,,,16.14
277,Conad Pian di Marco,McDonald's Barbaricina,Ristorante Il Rustichello - San Piero,3.31,MD Discount Riglione,9.02,Piscina Comunale Camalich,6.17,,,,,7.36
278,Parcheggio San Giuliano Terme,Stazione Pisa Centrale,Via Gabriele Vettori 18,8.28,Esselunga Cisanello,2.47,Pizzeria Colignola,1.35,Via del Borghetto 102,4.05,,,2.24
279,Supermercato Coop Ghezzano,Supermercato Coop San Giusto,Parcheggio di Cisanello,5.29,Ristorante Il Mio Capriccio,2.05,Decathlon Pisa,0.26,,,,,2.25
280,Conad Metato,Polo Fibonacci,,,,,,,,,,,8.49
281,Pizzeria Colignola,Lidl Pisa,Stazione Pisa Centrale,4.22,Hotel Continental Tirrenia,17.21,,,,,,,16.24
282,Centro Commerciale Pisanova,Via Aretino Spinello 11,Supermercato Coop Ghezzano,5.8,,,,,,,,,5.61
283,Carrefour Express Pisanova,Parcheggio di Cisanello,Ristorante Tuscany 2,1.31,McDonald's Pisa Aurelia,4.7,Stazione Pisa Centrale,1.61,,,,,2.73
284,Ristorante Galileo,Via Cisanello 170,,,,,,,,,,,0.55
285,Via Cisanello 170,Via Aretino Spinello 11,Stazione Pisa Centrale,2.53,McDonald's Pisa Aurelia,1.54,Via Gabriele Vettori 18,3.41,Ristorante Pizzeria Il Pellicano,2.19,Ristorante Il Lago (Nodica),7.91,6.91
286,McDonald's Pisa Aurelia,Via Gabriele Vettori 18,Hotel San Ranieri,5.16,Hotel Continental Tirrenia,21.1,Via Angelo Battelli 5,19.46,Ristorante Tuscany 2,2.66,Torre,3.69,1.27
287,Via San Ranieri 9,Via Cisanello 170,Ristorante La Greppia,3.09,Centro Commerciale Darsena (Tirrenia),18.15,MediaWorld Pisa,20.45,Ristorante Da Stefano (Tirrenia),18.94,Via del Borghetto 102,19.12,2.12
288,Via del Borghetto 102,Via Aretino Spinello 11,MD Discount Riglione,6.09,,,,,,,,,6.03
289,Decathlon Pisa,Hotel Continental Tirrenia,,,,,,,,,,,17.44
290,Parco San Rossore,Via Cisanello 170,Ristorante Tuscany 2,3.88,Parcheggio Via Paparelli,2.92,,,,,,,2.58
291,Parcheggio Migliarino,Via Angelo Battelli 5,Parcheggio San Giuliano Terme,9.99,Euronics Pisa Cisanello,8.88,Conad Pian di Marco,3.41,Conad Metato,12.66,Hotel San Ranieri,8.25,2.46
292,Parcheggio Via Paparelli,Euronics Pisa Cisanello,Stazione Leopolda,3.87,Hotel Galilei Pisa,4.03,Hotel San Ranieri,5.67,Parcheggio Migliarino,16.22,,,15.4
293,Decathlon Pisa,Pizzeria Pisanova,Parco San Rossore,2.73,Ristorante Il Mio Capriccio,2.74,Supermercato Coop Ghezzano,6.88,,,,,5.99
294,Lidl Pisa,Universita di Pisa,Ristorante Il Lago (Nodica),6.89,Via Gabriele Vettori 18,6.08,,,,,,,0.56
295,Universita di Pisa,Ristorante Il Mio Capriccio,,,,,,,,,,,2.23
296,MD Discount Riglione,Supermercato Coop San Giusto,Parcheggio Via Paparelli,7.24,Piscina Comunale Camalich,8.02,,,,,,,3.48
297,Conad Pian di Marco,Parcheggio Porto di Marina,Via Angelo Battelli 5,2.98,,,,,,,,,17.2
298,Via Angelo Battelli 5,Supermercato Coop Ghezzano,Euronics Pisa Cisanello,2.23,Polo Fibonacci,2.3,,,,,,,4.76
299,Universita di Pisa,Torre,Pizzeria Pisanova,1.6,,,,,,,,,3.27
300,Via Cisanello 170,Ipercoop Pisa,Pizzeria Colignola,1.71,MD Discount Riglione,3.42,Parcheggio di Cisanello,4.39,Universita di Pisa,1.71,Via Angelo Battelli 5,0.92,2.7
301,Ristorante Da Stefano (Tirrenia),Stazione Leopolda,Hotel Galilei Pisa,16.11,Ristorante Il Rustichello - San Piero,3.56,Farmacia Cisanello,8.38,,,,,3.22
302,Hotel Galilei Pisa,Pizzeria Colignola,Stazione Pisa Centrale,3.23,Esselunga Cisanello,3.29,,,,,,,1.32
303,Conad La Vettola,Via Aretino Spinello 11,Stazione Leopolda,5.94,Pizzeria Pisanova,1.78,Parcheggio San Giuliano Terme,9.3,Via Angelo Battelli 5,7.73,Torre,1.22,1.56
304,Conad Pian di Marco,Polo Fibonacci,,,,,,,,,,,3.62
305,Farmacia Cisanello,MediaWorld Pisa,Via Montanelli 66,1.84,Supermercato Coop Ghezzano,5.61,Carrefour Express Pisanova,5.42,Via Angelo Battelli 5,1.45,Parcheggio San Giuliano Terme,8.53,10.38
306,Supermercato Coop San Giusto,Pizzeria Colignola,Hotel Continental Tirrenia,17.75,Ristorante Da Stefano (Tirrenia),1.15,Pizzeria Pisanova,20.84,,,,,2.37
307,Supermercato Coop Ghezzano,Parcheggio San Giuliano Terme,Ristorante La Greppia,6.87,Esselunga Cisanello,3.11,Ristorante Il Lago (Nodica),7.7,,,,,2.82
308,Ristorante Il Lago (Nodica),Hotel San Ranieri,Pizzeria Colignola,7.93,Pizzeria Pisanova,2.33,Centro Commerciale Pisanova,0.11,Universita di Pisa,1.95,Conad La Vettola,8.09,8.32
309,Lidl Pisa,Ristorante Il Rustichello - San Piero,,,,,,,,,,,4.17
310,Universita di Pisa,Centro Commerciale Darsena (Tirrenia),Conad Metato,8.4,Parcheggio San Giuliano Terme,0.48,,,,,,,31.49
311,Supermercato Coop San Giusto,Hotel Galilei Pisa,Hotel San Ranieri,3.8,Ristorante Da Stefano (Tirrenia),21.94,Stazione Pisa Centrale,19.31,,,,,3.21
312,Via Aretino Spinello 11,OBI Pisa,Conad La Vettola,6.56,McDonald's Pisa Aurelia,5.18,Supermercato Coop Ghezzano,9.03,Esselunga Cisanello,5.25,Polo Fibonacci,2.13,4.92
313,Centro Commerciale Pisanova,Ristorante Da Stefano (Tirrenia),Esselunga Cisanello,0.92,Parcheggio Migliarino,15.58,Conad Pian di Marco,14.63,,,,,16.09
314,Esselunga Cisanello,Conad La Vettola,Ristorante Il Rustichello - San Piero,7.27,Via Cisanello 170,7.91,Hotel San Ranieri,0.44,Supermercato Coop Ghezzano,5.14,,,11.21
315,Hotel Galilei Pisa,Supermercato Coop San Giusto,Via Gabriele Vettori 18,5.17,Polo Fibonacci,0.6,Ristorante Da Stefano (Tirrenia),21.04,,,,,16.31
316,Ristorante Il Mio Capriccio,Parcheggio San Giuliano Terme,Ristorante Galileo,1.45,OBI Pisa,4.73,Ristorante Pizzeria Il Pellicano,2.51,Universita di Pisa,2.63,,,8.42
317,Parcheggio Migliarino,Parco San Rossore,Centro Commerciale Pisanova,14.73,Ristorante Il Rustichello - San Piero,6.87,Via Montanelli 66,5.68,Parcheggio di Cisanello,1.59,,,3.95
318,Ristorante La Greppia,Via San Ranieri 9,MD Discount Riglione,4.31,Stazione San Rossore,6.88,Facolta di Ingegneria Polo A,2.32,Ristorante Il Mio Capriccio,2.29,Conad Pian di Marco,2.95,4.33
319,MD Discount Riglione,Lidl Pisa,Via Montanelli 66,5.45,Esselunga Cisanello,1.99,Stazione San Rossore,3.93,McDonald's Pisa Aurelia,1.67,,,2.17
320,Via Aretino Spinello 11,MediaWorld Pisa,Pizzeria Colignola,3.81,,,,,,,,,2.12
321,Decathlon Pisa,Pizzeria Colignola,Parcheggio Porto di Marina,15.55,,,,,,,,,17.89
322,Via Cisanello 170,Supermercato Coop Ghezzano,Parcheggio di Cisanello,0.14,Via San Ranieri 9,0.38,Ristorante Da Stefano (Tirrenia),20.4,Decathlon Pisa,18.81,,,6.65
323,Hotel Galilei Pisa,Pizzeria Pisanova,Stazione San Rossore,3.03,Stazione Leopolda,1.11,Decathlon Pisa,2,Ristorante Galileo,1.03,Facolta di Ingegneria Polo A,2.06,1.83
324,Pizzeria Colignola,Polo Fibonacci,Ristorante Il Mio Capriccio,3.09,Via Aretino Spinello 11,1.85,,,,,,,1.2
325,OBI Pisa,Universita di Pisa,Euronics Pisa Cisanello,4.07,,,,,,,,,2.4
326,Conad La Vettola,Via Gabriele Vettori 18,Ristorante La Greppia,6.78,Pizzeria Pisanova,2.24,,,,,,,1.6
327,Via Angelo Battelli 5,Universita di Pisa,Pizzeria Colignola,3.84,MediaWorld Pisa,2.54,,,,,,,2.04
328,Ristorante Da Stefano (Tirrenia),Via Gabriele Vettori 18,OBI Pisa,14.81,Centro Commerciale Pisanova,4.45,Farmacia Cisanello,1.31,Conad La Vettola,8.63,,,7.48
329,Pizzeria Pisanova,Eurospin Ospedaletto,,,,,,,,,,,7.1
330,Conad Pian di Marco,Stazione Leopolda,,,,,,,,,,,2.45
331,Via Montanelli 66,Ristorante Galileo,Parcheggio San Giuliano Terme,8.17,,,,,,,,,9.06
332,McDonald's Barbaricina,Torre,Farmacia Cisanello,8.42,Carrefour Express Pisanova,1.51,Via Gabriele Vettori 18,1.61,Conad Pian di Marco,3.37,Ristorante Il Lago (Nodica),8.21,4.96
333,Stazione San Rossore,Piscina Comunale Camalich,Carrefour Express Pisanova,2.87,McDonald's Barbaricina,6.75,OBI Pisa,4.24,Ristorante Tuscany 2,5.6,Ristorante La Greppia,3.15,3.71
334,OBI Pisa,Conad La Vettola,Parcheggio San Giuliano Terme,11.36,MediaWorld Pisa,8.68,Ristorante Tuscany 2,1.07,,,,,9.42
335,Via Cisanello 170,Ristorante Pizzeria Il Pellicano,Parcheggio di Cisanello,0.13,,,,,,,,,2.34
336,Facolta di Ingegneria Polo A,Ristorante Pizzeria Il Pellicano,Parcheggio Via Paparelli,2.11,Via Gabriele Vettori 18,2.43,,,,,,,1.95
337,Eurospin Ospedaletto,Via Angelo Battelli 5,Supermercato Coop Ghezzano,11.91,Ipercoop Pisa,7.07,,,,,,,2.82
338,Conad Metato,Ristorante Il Mio Capriccio,,,,,,,,,,,9.31
339,Lidl Pisa,Parcheggio San Giuliano Terme,Stazione Leopolda,0.95,Stazione Pisa Centrale,0.62,McDonald's Barbaricina,4.7,,,,,10.46
340,Pizzeria Pisanova,Pizzeria Colignola,Ristorante Tuscany 2,0.97,Stazione Pisa Centrale,2.78,,,,,,,4.41
341,Via Montanelli 66,Hotel San Ranieri,,,,,,,,,,,1.86
342,Stazione Leopolda,Torre,McDonald's Barbaricina,5.55,Decathlon Pisa,6.7,Esselunga Cisanello,1.62,Pizzeria Pisanova,0.89,,,3.05
343,Ristorante Da Stefano (Tirrenia),MD Discount Riglione,Centro Commerciale Darsena (Tirrenia),1.43,Stazione San Rossore,18.92,,,,,,,5.71
344,Universita di Pisa,Ristorante Galileo,Conad La Vettola,7.03,Ristorante Tuscany 2,9.73,,,,,,,0.55
345,Pizzeria Pisanova,McDonald's Pisa Aurelia,Conad Pian di Marco,3.75,Pizzeria Colignola,5.57,Hotel San Ranieri,1.59,,,,,4.92
346,MD Discount Riglione,Piscina Comunale Camalich,Decathlon Pisa,4.1,Polo Fibonacci,2.45,Facolta di Ingegneria Polo A,0.29,Via del Borghetto 102,0.3,,,6.53
347,Parcheggio Porto di Marina,Centro Commerciale Pisanova,Farmacia Cisanello,19.2,Esselunga Cisanello,0.45,,,,,,,0.94
348,Conad Metato,Torre,Piscina Comunale Camalich,13.64,,,,,,,,,6.92
349,OBI Pisa,Conad La Vettola,,,,,,,,,,,5.07
350,Ristorante Il Mio Capriccio,McDonald's Barbaricina,Parcheggio di Cisanello,1.75,Euronics Pisa Cisanello,1.39,Parco San Rossore,3.77,Ristorante Il Lago (Nodica),7.39,Esselunga Cisanello,6.81,7.6
